date,description,amount
2026-06-01,Salary Credit,150000
2026-06-01,House Rent,-45000
2026-06-02,Netflix Subscription,-1100
2026-06-03,Foodpanda Order,-1350
2026-06-03,Foodpanda Order,-1350
2026-06-04,Careem Ride,-650
2026-06-05,JazzCash Mobile Load,-500
2026-06-06,Grocery Store,-6200
2026-06-07,Electricity Bill,-9500
2026-06-08,Spotify Subscription,-399
2026-06-09,Coffee Shop,-850
2026-06-10,Daraz Shopping,-3200
2026-06-11,Careem Ride,-720
2026-06-12,Bank Service Charges,-120
2026-06-13,Gym Membership,-2500
2026-06-14,Restaurant Dinner,-4500
2026-06-15,Internet Bill,-3500
2026-06-16,Uber Ride,-700
2026-06-17,Medical Pharmacy,-1800
2026-06-18,Netflix Subscription,-1100
2026-06-19,Foodpanda Order,-980
2026-06-20,Fuel Station,-5000
2026-06-21,Grocery Store,-4200
2026-06-22,Careem Ride,-640
2026-06-23,Online Course Subscription,-3000
2026-06-24,ATM Withdrawal,-10000
2026-06-25,JazzCash Mobile Load,-500
2026-06-26,Daraz Shopping,-2750
2026-06-27,Restaurant Lunch,-2100
2026-06-28,Bank Service Charges,-120
2026-06-29,Electricity Bill Late Fee,-500
2026-06-30,Grocery Store,-5300
2026-07-01,Salary Credit,150000
2026-07-01,House Rent,-45000
2026-07-02,Netflix Subscription,-1100
2026-07-03,Foodpanda Order,-1250
2026-07-04,Careem Ride,-690
2026-07-05,JazzCash Mobile Load,-500
2026-07-06,Grocery Store,-5800
2026-07-07,Electricity Bill,-10200
2026-07-08,Spotify Subscription,-399
2026-07-09,Coffee Shop,-900
2026-07-10,Gym Membership,-2500
2026-07-11,Careem Ride,-710
2026-07-12,Bank Service Charges,-120
2026-07-13,Daraz Shopping,-4200
2026-07-13,Daraz Shopping,-4200
2026-07-14,Restaurant Dinner,-3900
2026-07-15,Internet Bill,-3500
2026-07-16,Medical Pharmacy,-1600
2026-07-17,Foodpanda Order,-1150
2026-07-18,Netflix Subscription,-1100
2026-07-19,Fuel Station,-5200
2026-07-20,Grocery Store,-4700
